example_id,thread_id,text,context,following_brand_response,label_status,human_editable_intent,human_editable_escalation,escalation_reason,intent,should_escalate_auto,text_length,thread_depth,historical_precedent_quality
gold_0000,1331939,YO @115858 WTF MY IPHONE IS SLOW AS HELL AND MY APS CLOSE RANDOMLY AND IT REBOOTS RANDOMLY EVERYDAY!! LIKE WTF IS UPPPPP KYLE,,@430729 We want you to be able to rely on your iPhone. Please DM us and we'll look into these issues together. https://t.co/GDrqU22YpT,auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,125,2,dm_escalation
gold_0001,2177282,I accidentally purchased an app and I deleted it once I saw it had only a three day trial @AppleSupport is still charging me for it saying it’s not eligible for refund,,"@638169 Hi there.Thanks for reaching out. For issues regarding purchases, you can report a problem here: https://t.co/TnACmwZbFZ Send us a DM if you have questions: https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,True,repeated,battery_charging_power,True,167,2,dm_escalation
gold_0002,487945,"@AppleSupport Hi, I just wanted to make sure that this is a legit email and website to update my information. I did not purchase anything on Netflix. https://t.co/7zdYMonhOF",,@231143 Thanks for reaching out to us about this concern. This does not appear to be from us and we suggest you report this using the steps from the following link: https://t.co/sayPykspsk,auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,173,3,actionable
gold_0003,725,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",auto_labeled,app_store_problems,False,,app_store_problems,False,59,2,dm_escalation
gold_0004,1557390,I find it funny how my phone decides to go to crap once the new iPhone comes out 🤷🏻‍♂️🤷🏻‍♂️ @115858,,@481408 Hi there! DM us with some details on what's going on with your iPhone. https://t.co/GDrqU2kzhr,auto_labeled,general_support_other,False,,general_support_other,False,99,2,dm_escalation
gold_0005,1474684,"@AppleSupport should consider adding a vpn button to the control center, it’s sometimes a hassle to go to the app and turn it on there",,@462334 Thanks for reaching out. We recommend submitting feature request feedback here: https://t.co/eTPVYVFyd8,auto_labeled,device_hardware_accessory,False,,device_hardware_accessory,False,134,2,acknowledgement_only
gold_0006,1398103,"Every iteration of iOS 11 I’ve updated to on my 6s+, the camera will go out of focus constantly. What’s the deal @115858 @AppleSupport?",,@445128 We want to look into this. Is this your front and rear camera?,auto_labeled,app_store_problems,False,,app_store_problems,False,135,4,actionable
gold_0007,1657764,Wtf with this I️ shit?! It’s driving me bonkers 😭 @115858,,@505807 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,57,2,actionable
gold_0008,428737,Quand tu veux @115858 pour corriger le bug du dock qui disparaît sur iPad 12 »...,,@216973 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,auto_labeled,device_hardware_accessory,False,,device_hardware_accessory,False,81,4,next_step
gold_0009,2757488,"@AppleSupport since upgrading to iOS 11, my iPhone no longer makes a sound or displays a notification on my locked screen when I receive a text message (or some other app notifications) while wearing my Apple Watch. Is this a bug or a hidden “feature”?",,"@771697 Thank you for reaching out to us! We know how important it is to have your notifications working as expected, and we’ll do everything we can to help you out with this. Which version of iOS 11 have you updated to?",auto_labeled,apple_id_account,False,,apple_id_account,False,252,6,actionable
gold_0010,2230638,Amigos expertos en @AppleSupport se borraron mis contactos 😱,,@650945 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,auto_labeled,app_store_problems,False,,app_store_problems,False,60,2,low_quality
gold_0011,2918829,"@115858 @applesupport Worst experience ever. My Apple TV won't stream any of my iTunes content (other services, like Netflix work perfectly). This is after rebooting, unplugging for over a minute, logging out of my Apple ID, et cetera.",,"@807875 Thanks for reaching out to us on DM. We're here to help. We recommend speaking to one of our Mutli Media Advisors, so they can verify your account and continue troubleshooting this issue. Please follow the link to begin:  https://t.co/IBIY3vMgPj",auto_labeled,battery_charging_power,True,angry/frustrated,battery_charging_power,True,235,2,acknowledgement_only
gold_0012,2862167,hey @AppleSupport wanna explain to me why my phone just died at 67%? and then when I plugged it in went up to 70%?,,"@795097 We'd love to look into why this happened. Please send us a DM with which model iPhone, and version of iOS you're using to get started. https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,False,,battery_charging_power,False,114,2,next_step
gold_0013,2291587,"@AppleSupport Hi I just applied for a iPhone 8 plus, I got a email saying thanks for order then I got a second email saying we’re unable to complete your order that they was going to try again, but I’ve not heard anything else ? Does that mean I’ve got it ?",,@647079 We’d like to get you pointed in the right direction. Please tell us your country in DM. https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,True,repeated,app_store_problems,True,257,2,actionable
gold_0014,159581,"God dammit @115858 @AppleSupport  ordered earbuds, got power adapter.  I understand it’s a busy time of year but now I have to find time to go get this exchanged. https://t.co/XDvMusyNzl",,@152738 We're here for you. You'll want to reach out to our sales team here: https://t.co/8yjRd1Xo0i,auto_labeled,battery_charging_power,False,,battery_charging_power,False,186,3,low_quality
gold_0015,2805151,"Mas olha, não aguento mais meu celular vibrando toda vez que atualiza os e-mails em segundo plano, alô @AppleSupport como desativa isso?",,"@782406 Since our Twitter support is available in English, get help at https://t.co/IBIY3w3RGR or join https://t.co/pvaOFg6Mb1",auto_labeled,app_store_problems,False,,app_store_problems,False,136,2,low_quality
gold_0016,2985240,How tf am I randomly gonna get signed out of my iCloud and then when I type in the correct info it doesn’t sign me in 😑 @AppleSupport,,@823162 We'd like to help you get this resolved. Are you getting error messages when this happens?,auto_labeled,apple_id_account,False,,apple_id_account,False,133,3,low_quality
gold_0017,2438526,"I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ 

FUCK YOU @115858",,"@699449 We'd also like to let you know that an update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,48,2,actionable
gold_0018,2947005,Updated to OS HighSierra-now  laptop randomly turns off &amp; can’t control iTunes w keyboard. Suggestions? @AppleSupport @115858,,"@813957 Thanks for reaching out.  We want to help.  Let's boot into Safe Mode.  While in Safe Mode, test to see if you can control iTunes with the Keyboard.  Here's how: https://t.co/PQ4LSYhUTY",auto_labeled,app_store_problems,False,,app_store_problems,False,129,4,actionable
gold_0019,2420768,Just confused why @115858 charged me $15 🤔like wtf .. I didn’t purchase anything,,@695380 We can help point you in the right direction. Do you see a description next to the charge?,auto_labeled,battery_charging_power,True,angry/frustrated,battery_charging_power,True,80,2,low_quality
gold_0020,188574,@115858 #ios11 issue. Can’t change volume if the phone is locked. Settings haven’t changed.,,@160260 We can help! Which version of iOS 11 are you currently running? Settings &gt; General &gt; About &gt; Version will show you.,auto_labeled,apple_id_account,False,,apple_id_account,False,91,3,actionable
gold_0021,912848,"@AppleSupport Get no connect. w/latest iOS at the Podcast app (iPad mini 2, iPhone 8, 5S).Any problems out there?Haven’t used it before btw.",,@336779 We'd like to help. Tell us more about what happens when you try to use the Podcast app.,auto_labeled,connectivity_network_services,False,,connectivity_network_services,False,140,8,dm_escalation
gold_0022,2149919,Never realized how much I️ use the word “I️” until @115858 went and fucked it up,,@631856 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,80,2,actionable
gold_0023,2060018,"In need of a new MacBook Pro 💻 charger.
@115858 - help ya boy out?",,@609270 We'd love to help you look into some options. What happened to the charger? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,auto_labeled,battery_charging_power,True,security,battery_charging_power,True,66,2,next_step
gold_0024,1202037,"@AppleSupport after iOS update iCloud does not accept new password, after having to re-der it again (!) cannot sign out on phone.",,@402422 We can definitely look into this with you. What's the error that you see when you attempt to sign out of your account?,auto_labeled,apple_id_account,True,security,apple_id_account,True,129,2,low_quality
gold_0025,2404913,@AppleSupport how do I update apps without putting in my credit card information?,,"@691737 That's a great question. We're happy to explain. You can update your payment details as outlined here: https://t.co/Y0YoIRcZa7
Let us know if you have any questions in the process. We're here for you.",auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,81,2,actionable
gold_0026,2920000,@AppleSupport I am unable to log into my Game Center account!  I have tried WiFi and cellular.  I have tried restarting my device.  Nothing is working!,,@584754 Let's look into this for you. What happens when you attempt to log into Game center? Let us know what you see in DM. https://t.co/GDrqU22YpT,auto_labeled,apple_id_account,False,,apple_id_account,False,151,2,next_step
gold_0027,429584,@AppleSupport there seems to be a bug here https://t.co/wRnPNg16EY,,@217171 Thanks for reaching out.  We want to help.  Have you tried re-starting your computer &amp; checking updates again?,auto_labeled,app_store_problems,False,,app_store_problems,False,66,5,actionable
